Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Score	Ortholog count	Ortholog Group
TGVEG_200330	TGVEG_200330-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,831,432..6,836,876(-)	hypothetical protein	5.589	33	OG6_134718
TGVEG_200340	TGVEG_200340-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,839,206..6,839,985(-)	hypothetical protein	5.589	40	OG6_104717
TGVEG_200350	TGVEG_200350-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,843,008..6,848,243(+)	subtilisin SUB3	5.589	29	OG6_156705
TGVEG_200360	TGVEG_200360-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,851,648..6,852,208(+)	hypothetical protein	5.589	18	OG6_489955
TGVEG_200370	TGVEG_200370-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,853,079..6,858,051(-)	prenyltransferase and squalene oxidase repeat-containing protein	5.589	29	OG6_101706
TGVEG_200375	TGVEG_200375-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,862,576..6,863,017(-)	hypothetical protein	5.589	3	OG6_489925
TGVEG_200385	TGVEG_200385-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,863,205..6,871,861(-)	Myb family DNA-binding domain-containing protein	5.589	17	OG6_119087
TGVEG_200400	TGVEG_200400-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,877,246..6,890,531(-)	hypothetical protein	5.589	28	OG6_101579
TGVEG_200410	TGVEG_200410-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,895,105..6,897,888(-)	hypothetical protein	5.589	18	OG6_489412
TGVEG_200430	TGVEG_200430-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,900,382..6,907,510(-)	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	5.589	27	OG6_102571
TGVEG_200440	TGVEG_200440-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,910,200..6,914,074(+)	putative transmembrane protein	5.589	18	OG6_491722
TGVEG_200450	TGVEG_200450-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,916,627..6,924,088(-)	hypothetical protein	5.589	17	OG6_491499
TGVEG_200460	TGVEG_200460-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,927,425..6,933,396(-)	hypothetical protein	5.589	34	OG6_158728
TGVEG_200470	TGVEG_200470-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,936,453..6,940,269(+)	hypothetical protein	5.589	20	OG6_101441
TGVEG_200480	TGVEG_200480-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,943,881..6,944,719(+)	Toxoplasma gondii family B protein	21.5	272	OG6_115507
TGVEG_200595	TGVEG_200595-t26_1	Toxoplasma gondii VEG	TGVEG_chrX:4,123..6,792(-)	hypothetical protein	5.589	16	OG6_490846
TGVEG_201110	TGVEG_201110-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,130,893..4,132,810(-)	putative transmembrane protein	5.589	21	OG6_151672
TGVEG_201120	TGVEG_201120-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,120,561..4,128,679(+)	ELMO/CED-12 family protein	5.589	57	OG6_102238
TGVEG_201130	TGVEG_201130-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,112,717..4,116,143(+)	rhoptry kinase family protein ROP33	5.589	21	OG6_490228
TGVEG_201140	TGVEG_201140-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,099,669..4,107,231(+)	hypothetical protein	5.589	21	OG6_490170
TGVEG_201150	TGVEG_201150-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,085,412..4,095,854(+)	heavy metal translocating P-type ATPase subfamily protein	5.589	53	OG6_100289
TGVEG_201160	TGVEG_201160-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,084,185..4,084,754(-)	hypothetical protein	5.589	14	OG6_489387
TGVEG_201170	TGVEG_201170-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,082,223..4,083,754(-)	hypothetical protein	5.589	22	OG6_489941
TGVEG_201180A	TGVEG_201180A-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,077,307..4,079,405(-)	putative transmembrane protein	5.589	24	OG6_491224
TGVEG_201180B	TGVEG_201180B-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,074,479..4,075,084(-)	hypothetical protein	5.589	24	OG6_491224
TGVEG_201190	TGVEG_201190-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,070,608..4,070,967(+)	hypothetical protein	5.589	14	OG6_492033
TGVEG_201200	TGVEG_201200-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,066,714..4,070,114(+)	zinc finger (CCCH type) motif-containing protein	5.589	29	OG6_119550
TGVEG_201210	TGVEG_201210-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,062,863..4,065,717(-)	hypothetical protein	5.589	21	OG6_491841
TGVEG_201215	TGVEG_201215-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,059,418..4,060,673(-)	hypothetical protein	5.589	7	OG6_492040
TGVEG_201220	TGVEG_201220-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,050,535..4,059,127(-)	zinc finger protein	5.589	93	OG6_105580
TGVEG_201230	TGVEG_201230-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,041,685..4,048,937(+)	kinesin motor domain-containing protein	5.589	19	OG6_491046
TGVEG_201240	TGVEG_201240-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,037,407..4,039,450(-)	proteophosphoglycan 5, related protein	5.589	18	OG6_490659
TGVEG_201250	TGVEG_201250-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,028,130..4,035,203(+)	putative histone lysine methyltransferase, SET	5.589	30	OG6_489315
TGVEG_201260	TGVEG_201260-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,017,872..4,023,554(-)	sugar transporter ST3	5.589	24	OG6_186227
TGVEG_201270	TGVEG_201270-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,008,144..4,013,921(-)	hypothetical protein	5.589	19	OG6_491425
TGVEG_201380	TGVEG_201380-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,001,291..4,006,270(+)	putative chorismate synthase	5.589	30	OG6_102633
TGVEG_201390	TGVEG_201390-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,999,935..4,000,261(-)	putative transmembrane protein	5.589	17	OG6_489809
TGVEG_201400	TGVEG_201400-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,990,670..3,996,310(-)	Sin3-associated polypeptide SAP18	5.589	28	OG6_103126
TGVEG_201520	TGVEG_201520-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,985,467..3,987,248(+)	protein phosphatase 2C domain-containing protein	5.589	62	OG6_126697
TGVEG_201630A	TGVEG_201630A-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,973,471..3,975,388(+)	protein phosphatase 2C domain-containing protein	5.589	62	OG6_126697
TGVEG_201630B	TGVEG_201630B-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,977,666..3,979,389(+)	protein phosphatase 2C domain-containing protein	5.589	62	OG6_126697
TGVEG_201640	TGVEG_201640-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,967,256..3,971,023(-)	hypothetical protein	5.589	17	OG6_491723
TGVEG_201650	TGVEG_201650-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,962,599..3,967,162(-)	hypothetical protein	5.589	16	OG6_491077
TGVEG_201660	TGVEG_201660-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,956,666..3,958,432(-)	hypothetical protein	5.589	18	OG6_490047
TGVEG_201670	TGVEG_201670-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,952,309..3,955,125(+)	DnaJ domain-containing protein	5.589	18	OG6_490899
TGVEG_201680	TGVEG_201680-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,941,437..3,949,778(+)	putative eukaryotic initiation factor-3 subunit 10	5.589	44	OG6_102668
TGVEG_201690	TGVEG_201690-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,934,136..3,936,640(-)	BT1 family protein	5.589	18	OG6_490163
TGVEG_201700	TGVEG_201700-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,928,099..3,931,512(-)	WD domain, G-beta repeat-containing protein	5.589	29	OG6_101941
TGVEG_201710	TGVEG_201710-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,921,777..3,925,808(+)	WD domain, G-beta repeat-containing protein	5.589	35	OG6_102033
TGVEG_201720	TGVEG_201720-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,917,505..3,920,418(-)	putative protein c9orf32	5.589	26	OG6_102160
TGVEG_201730	TGVEG_201730-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,915,293..3,915,913(+)	hypothetical protein	5.589	15	OG6_490615
TGVEG_201740	TGVEG_201740-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,913,603..3,914,925(+)	hypothetical protein	5.589	23	OG6_222912
TGVEG_201750	TGVEG_201750-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,909,916..3,910,287(+)	Tctex-1 family protein	5.589	51	OG6_101459
TGVEG_201760	TGVEG_201760-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,903,969..3,906,523(+)	hypothetical protein	5.589	21	OG6_222911
TGVEG_201770	TGVEG_201770-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,890,390..3,901,299(+)	putative cullin 3	5.589	42	OG6_102066
TGVEG_201775	TGVEG_201775-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,885,815..3,886,492(+)	hypothetical protein	5.589	14	OG6_492363
TGVEG_201780	TGVEG_201780-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,881,171..3,884,435(-)	microneme protein MIC2	5.589	38	OG6_106501
TGVEG_201785	TGVEG_201785-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,879,052..3,880,063(-)	hypothetical protein	5.589	14	OG6_490927
TGVEG_201790	TGVEG_201790-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,870,928..3,876,260(-)	FHA domain-containing protein	5.589	30	OG6_102703
TGVEG_201800	TGVEG_201800-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,866,752..3,868,822(+)	putative RNA-binding protein	5.589	31	OG6_139438
TGVEG_201810	TGVEG_201810-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,864,279..3,865,361(-)	hypothetical protein	5.589	16	OG6_491316
TGVEG_201820	TGVEG_201820-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,850,811..3,860,016(+)	hypothetical protein	5.589	31	OG6_146129
TGVEG_201830	TGVEG_201830-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,843,860..3,846,187(+)	ribosomal protein L37	5.589	24	OG6_145389
TGVEG_201840	TGVEG_201840-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,835,827..3,841,959(+)	aspartyl protease ASP1	5.589	56	OG6_100536
TGVEG_201850	TGVEG_201850-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,831,619..3,832,980(-)	WD domain, G-beta repeat-containing protein	5.589	27	OG6_102912
TGVEG_201860	TGVEG_201860-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,828,837..3,829,973(-)	putative transmembrane protein	5.589	26	OG6_179540
TGVEG_201870	TGVEG_201870-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,819,820..3,828,017(+)	tetratricopeptide repeat-containing protein	5.589	20	OG6_142847
TGVEG_201880	TGVEG_201880-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,816,120..3,817,512(+)	ubiquinol-cytochrome C family reductase UQCRX/QCR9-like protein	5.589	26	OG6_139435
TGVEG_201890	TGVEG_201890-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,812,174..3,813,529(+)	MORN repeat-containing protein	5.589	17	OG6_132287
TGVEG_201895	TGVEG_201895-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,810,861..3,811,475(+)	hypothetical protein	5.589	12	OG6_489658
TGVEG_201900	TGVEG_201900-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,801,069..3,807,143(-)	hypothetical protein	5.589	24	OG6_171409
TGVEG_202010	TGVEG_202010-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,796,511..3,799,520(+)	hypothetical protein	5.589	17	OG6_490699
TGVEG_202020	TGVEG_202020-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,787,608..3,793,871(+)	DnAK-TPR	5.589	23	OG6_223014
TGVEG_202025	TGVEG_202025-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,776,201..3,781,399(-)	hypothetical protein	5.589	15	OG6_489533
TGVEG_202030	TGVEG_202030-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,766,751..3,775,170(-)	poly(ADP-ribose) polymerase catalytic domain protein	5.589	18	OG6_491966
TGVEG_202040	TGVEG_202040-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,756,875..3,763,889(+)	hypothetical protein	5.589	24	OG6_134647
TGVEG_202050	TGVEG_202050-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,753,909..3,754,824(-)	putative transmembrane protein	5.589	18	OG6_489310
TGVEG_202065	TGVEG_202065-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,752,305..3,752,923(+)	hypothetical protein	5.589	13	OG6_491883
TGVEG_202070	TGVEG_202070-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,717,929..3,750,270(-)	hypothetical protein	5.589	28	OG6_492004
TGVEG_202080	TGVEG_202080-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,707,292..3,716,680(+)	hypothetical protein	5.589	19	OG6_491401
TGVEG_202090	TGVEG_202090-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,703,281..3,703,877(-)	hypothetical protein	5.589	19	OG6_491636
TGVEG_202100	TGVEG_202100-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,701,110..3,702,398(-)	hypothetical protein	5.589	19	OG6_492283
TGVEG_202110	TGVEG_202110-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,697,848..3,698,714(-)	hypothetical protein	5.589	17	OG6_489648
TGVEG_202120	TGVEG_202120-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,670,961..3,694,859(-)	hypothetical protein	5.589	65	OG6_130917
TGVEG_202140	TGVEG_202140-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,665,664..3,668,070(-)	enoyl-CoA hydratase/isomerase family protein	5.589	19	OG6_171928
TGVEG_202160	TGVEG_202160-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,654,673..3,664,052(+)	ABC1 family protein	5.589	32	OG6_173494
TGVEG_202170	TGVEG_202170-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,646,064..3,654,294(-)	putative transmembrane protein	5.589	40	OG6_489543
TGVEG_202180	TGVEG_202180-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,635,124..3,644,637(+)	hypothetical protein	5.589	38	OG6_151540
TGVEG_202190	TGVEG_202190-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,623,214..3,631,124(-)	Tub family protein	5.589	24	OG6_206222
TGVEG_202200	TGVEG_202200-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,609,949..3,614,078(-)	hypothetical protein	5.589	26	OG6_489357
TGVEG_202205	TGVEG_202205-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,608,257..3,609,007(-)	hypothetical protein	5.589	17	OG6_491346
TGVEG_202210	TGVEG_202210-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,605,332..3,607,481(-)	nucleoside diphosphate kinase	5.589	31	OG6_104217
TGVEG_202220	TGVEG_202220-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,597,114..3,600,560(-)	hypothetical protein	5.589	18	OG6_490471
TGVEG_202230	TGVEG_202230-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,586,069..3,595,268(+)	histone deacetylase HDAC5	5.589	33	OG6_114105
TGVEG_202240	TGVEG_202240-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,575,932..3,583,401(-)	RAP domain-containing protein	5.589	19	OG6_489352
TGVEG_202250	TGVEG_202250-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,567,376..3,574,123(+)	putative transmembrane protein	5.589	20	OG6_491280
TGVEG_202255	TGVEG_202255-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,562,944..3,565,804(-)	hypothetical protein	5.589	17	OG6_489593
TGVEG_202260	TGVEG_202260-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,554,698..3,556,968(-)	putative WD repeat protein 90	5.589	20	OG6_177152
TGVEG_202280	TGVEG_202280-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,534,859..3,551,124(-)	WD domain, G-beta repeat-containing protein	5.589	33	OG6_106699
TGVEG_202285	TGVEG_202285-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,532,177..3,533,923(+)	EGF family domain-containing protein	5.589	19	OG6_132246
TGVEG_202290	TGVEG_202290-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,526,656..3,528,113(-)	putative membrane protein	5.589	51	OG6_130935
TGVEG_202300	TGVEG_202300-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,521,804..3,525,071(+)	putative inosine triphosphate pyrophosphatase	5.589	31	OG6_100769
TGVEG_202310	TGVEG_202310-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,517,299..3,519,896(+)	O-sialoglycoprotein endopeptidase	5.589	50	OG6_100288
TGVEG_202340	TGVEG_202340-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,502,061..3,506,194(+)	proline dehydrogenase	5.589	25	OG6_101295
TGVEG_202350	TGVEG_202350-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,491,774..3,499,705(+)	putative 50S ribosomal protein L21	5.589	66	OG6_101040
TGVEG_202360	TGVEG_202360-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,482,573..3,489,237(+)	putative methylase	5.589	28	OG6_103169
TGVEG_202370	TGVEG_202370-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,473,308..3,479,226(+)	putative T-complex protein 1, epsilon subunit (TCP-1-epsilon)	5.589	73	OG6_100235
TGVEG_202375	TGVEG_202375-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,468,258..3,468,917(-)	putative transmembrane protein	5.589	13	OG6_490488
TGVEG_202380	TGVEG_202380-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,455,703..3,463,074(+)	putative rab GDI alpha	5.589	34	OG6_100967
TGVEG_202390	TGVEG_202390-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,450,535..3,453,168(-)	S15 sporozoite-expressed protein	5.589	19	OG6_215374
TGVEG_202400	TGVEG_202400-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,442,597..3,448,275(+)	calcium binding egf domain-containing protein	5.589	27	OG6_174055
TGVEG_202410	TGVEG_202410-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,430,181..3,437,784(+)	CRAL/TRIO domain protein	5.589	72	OG6_132275
TGVEG_202420	TGVEG_202420-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,425,622..3,427,286(+)	putative transmembrane protein	5.589	19	OG6_490057
TGVEG_202430	TGVEG_202430-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,419,294..3,422,037(-)	hypothetical protein	5.589	17	OG6_489805
TGVEG_202440	TGVEG_202440-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,414,760..3,417,522(+)	putative transmembrane protein	5.589	33	OG6_134715
TGVEG_202445	TGVEG_202445-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,412,317..3,413,346(-)	hypothetical protein	5.589	13	OG6_489379
TGVEG_202450	TGVEG_202450-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,409,352..3,410,508(-)	putative transmembrane protein	5.589	19	OG6_179347
TGVEG_202460	TGVEG_202460-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,397,483..3,405,312(-)	diacylglycerol kinase accessory domain (presumed) domain-containing protein	5.589	48	OG6_117937
TGVEG_202470	TGVEG_202470-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,390,643..3,394,842(+)	rRNA metabolism protein, SBDS family protein	5.589	37	OG6_101125
TGVEG_202480	TGVEG_202480-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,385,008..3,387,345(+)	hypothetical protein	5.589	20	OG6_201691
TGVEG_202490	TGVEG_202490-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,367,174..3,380,303(-)	AP2 domain transcription factor AP2VIIa-7	5.589	26	OG6_112057
TGVEG_202500	TGVEG_202500-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,361,318..3,363,380(-)	GAPM1a	5.589	66	OG6_130918
TGVEG_202510	TGVEG_202510-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,355,420..3,357,588(-)	multi-pass transmembrane protein	5.589	66	OG6_130918
TGVEG_202520	TGVEG_202520-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,349,750..3,353,393(+)	hypothetical protein	5.589	18	OG6_224181
TGVEG_202530	TGVEG_202530-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,342,347..3,348,090(-)	aspartate-tRNA ligase	5.589	33	OG6_100778
TGVEG_202540	TGVEG_202540-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,325,743..3,336,509(-)	3'5'-cyclic nucleotide phosphodiesterase domain-containing protein	5.589	77	OG6_103870
TGVEG_202550	TGVEG_202550-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,314,599..3,322,585(+)	NLI interacting factor family phosphatase	5.589	18	OG6_490150
TGVEG_202568	TGVEG_202568-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,306,855..3,308,152(-)	putative ribophorin I, related protein	5.589	25	OG6_101764
TGVEG_202572	TGVEG_202572-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,296,007..3,304,436(-)	ribophorin i protein	5.589	41	OG6_102688
TGVEG_202580	TGVEG_202580-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,278,915..3,292,308(+)	ATPase, AAA family protein	5.589	138	OG6_100223
TGVEG_202590	TGVEG_202590-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,272,139..3,275,969(+)	leucyl/phenylalanyl-tRNA protein transferase	5.589	32	OG6_108194
TGVEG_202600	TGVEG_202600-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,270,657..3,271,037(-)	hypothetical protein	5.589	15	OG6_489803
TGVEG_202610	TGVEG_202610-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,259,781..3,267,363(+)	protein phosphatase 2C domain-containing protein	5.589	21	OG6_489333
TGVEG_202620	TGVEG_202620-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,253,136..3,254,131(-)	putative transmembrane protein	5.589	20	OG6_489887
TGVEG_202630	TGVEG_202630-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,238,625..3,250,149(-)	ATP-dependent metallopeptidase HflB subfamily protein	5.589	47	OG6_100384
TGVEG_202640	TGVEG_202640-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,227,279..3,237,495(+)	RNA pseudouridine synthase superfamily protein	5.589	139	OG6_100211
TGVEG_202650	TGVEG_202650-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,209,801..3,222,150(+)	GCC2 and protein GCC3	5.589	51	OG6_137363
TGVEG_202680	TGVEG_202680-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,195,846..3,202,118(-)	putative peptidase M16, alpha subunit	5.589	31	OG6_102381
TGVEG_202690	TGVEG_202690-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,190,985..3,193,699(+)	DNA-directed RNA polymerase II RPB9	5.589	31	OG6_102455
TGVEG_202700	TGVEG_202700-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,183,775..3,188,623(-)	hypothetical protein	5.589	21	OG6_490822
TGVEG_202720	TGVEG_202720-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,168,813..3,180,382(-)	RNB family domain-containing protein	5.589	27	OG6_490125
TGVEG_202730	TGVEG_202730-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,162,611..3,167,041(+)	hypothetical protein	5.589	16	OG6_491206
TGVEG_202740	TGVEG_202740-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,151,600..3,157,329(-)	hypothetical protein	5.589	27	OG6_101927
