orthologs,GT1,ME49,VEG
OG6_106699,1,1,1
OG6_132246,1,1,1
OG6_130935,2,2,2
OG6_100769,1,1,1
OG6_100288,2,2,2
N/A (orthology not determined for transcripts that are not protein-coding),177,598,153
OG6_492106,0,1,0
OG6_101295,1,1,1
OG6_101040,2,2,2
OG6_103169,1,1,1
OG6_100235,2,2,2
OG6_490488,1,1,1
OG6_100967,1,1,1
OG6_215374,1,1,1
OG6_174055,1,1,1
OG6_132275,2,2,2
OG6_490057,1,1,1
OG6_489805,1,1,1
OG6_134715,1,1,1
OG6_489379,1,1,1
OG6_179347,1,1,1
OG6_117937,1,1,1
OG6_101125,1,1,1
OG6_201691,1,1,1
OG6_112057,1,1,1
OG6_130918,2,2,2
OG6_224181,1,2,1
OG6_100778,1,1,1
OG6_103870,2,2,2
OG6_490150,1,1,1
OG6_101764,1,1,1
OG6_102688,1,1,1
OG6_100223,4,4,4
OG6_108194,1,1,1
OG6_489803,1,1,1
OG6_489333,1,1,1
OG6_489887,1,1,1
OG6_100384,1,1,1
OG6_100211,6,6,6
OG6_137363,1,1,1
OG6_102381,1,1,1
OG6_102455,1,1,1
OG6_490822,1,1,1
OG6_490125,1,1,1
OG6_491206,1,1,1
OG6_490914,0,1,0
OG6_101927,1,1,1
OG6_103422,1,1,1
OG6_491687,1,1,1
OG6_104067,2,2,2
OG6_492039,1,1,1
OG6_101867,1,1,1
OG6_102743,1,1,1
OG6_101286,1,1,1
OG6_101758,1,1,1
OG6_101863,1,1,1
OG6_119641,2,2,2
OG6_101395,1,1,1
OG6_490343,0,1,0
OG6_103733,1,1,1
OG6_100767,2,2,2
OG6_491557,1,1,1
OG6_195775,1,1,1
OG6_162756,1,1,1
OG6_106370,1,1,1
OG6_492325,1,1,1
OG6_491701,1,1,1
OG6_167241,1,1,1
OG6_100619,1,1,1
OG6_139649,1,1,1
OG6_491560,1,1,1
OG6_179542,1,1,1
OG6_490687,1,1,1
OG6_491516,1,1,1
OG6_100573,2,2,2
OG6_156235,1,1,1
OG6_100360,3,3,3
OG6_491494,1,1,1
OG6_491434,1,1,1
OG6_145157,1,1,1
OG6_490426,1,1,1
OG6_103065,1,1,1
OG6_490415,1,1,1
OG6_489768,1,1,1
OG6_101980,2,2,2
OG6_489719,1,1,1
OG6_100025,12,11,12
OG6_490878,1,1,1
OG6_148532,1,1,1
OG6_127453,1,1,1
OG6_490246,1,1,0
OG6_102427,1,1,1
OG6_490719,1,1,1
OG6_492137,1,1,1
OG6_223025,1,1,1
OG6_223156,1,1,1
OG6_489842,1,1,1
OG6_491765,1,1,1
OG6_100939,2,2,2
OG6_148527,1,1,1
OG6_490608,1,1,1
OG6_102131,1,1,1
OG6_489748,1,1,1
OG6_137388,1,1,2
OG6_104916,1,1,1
OG6_108184,1,1,1
OG6_129493,2,2,2
OG6_130940,1,1,1
OG6_103935,1,1,1
OG6_153113,1,1,1
OG6_176146,1,1,1
OG6_102149,1,1,1
OG6_102382,2,2,2
OG6_174438,1,1,1
OG6_101866,1,1,1
OG6_490960,1,1,1
OG6_102604,1,1,1
OG6_110534,1,1,1
OG6_104453,1,1,1
OG6_490351,1,1,1
OG6_490282,1,1,1
OG6_101399,1,1,1
OG6_490167,1,1,1
OG6_224182,1,1,1
OG6_126895,1,1,1
OG6_142373,1,1,1
OG6_106127,1,1,1
OG6_489326,1,1,1
OG6_103425,1,1,1
OG6_100550,1,1,1
OG6_490653,1,1,1
OG6_492224,1,1,1
OG6_101821,1,1,1
OG6_139428,1,1,1
OG6_100788,1,1,1
OG6_490210,1,1,1
OG6_490594,1,1,1
OG6_491971,1,1,1
OG6_489298,1,1,1
OG6_491860,1,1,1
OG6_101469,1,1,1
OG6_491991,1,1,1
OG6_491369,1,1,1
OG6_491968,1,1,1
OG6_156444,1,1,1
OG6_490929,1,1,1
OG6_491380,1,1,1
OG6_491392,1,1,1
OG6_490078,1,1,1
OG6_490895,1,1,1
OG6_492051,1,1,1
OG6_490272,1,1,1
OG6_491343,1,1,1
OG6_154599,1,1,1
OG6_491749,0,1,1
OG6_489811,1,1,1
OG6_125165,1,1,1
OG6_134690,1,1,1
OG6_489888,1,1,1
OG6_102669,1,1,1
OG6_490094,1,1,1
OG6_490882,1,1,1
OG6_490546,1,1,1
OG6_100282,9,6,8
OG6_113395,1,1,1
OG6_489798,1,1,1
OG6_101512,1,1,1
OG6_105326,1,1,1
OG6_104267,1,1,1
OG6_103031,1,1,1
OG6_108537,1,1,1
OG6_491744,1,1,1
OG6_489706,1,1,1
OG6_489584,1,1,1
OG6_491988,1,1,1
OG6_100234,4,3,2
OG6_101989,1,1,1
OG6_489365,1,1,1
OG6_121085,2,2,2
OG6_489505,1,1,1
OG6_134698,1,1,1
OG6_105604,1,1,1
OG6_100295,1,1,1
OG6_489833,1,1,1
OG6_489649,1,1,1
OG6_490318,1,1,1
OG6_103842,1,1,1
OG6_121849,2,2,2
OG6_159674,1,1,1
OG6_490892,1,1,1
OG6_191675,1,1,1
OG6_489683,1,1,1
OG6_105790,1,1,1
OG6_181888,2,2,2
OG6_158756,1,1,1
OG6_491999,1,1,1
OG6_491660,1,1,1
OG6_491398,1,1,1
OG6_491263,1,1,1
OG6_490136,1,1,1
OG6_101467,1,1,1
OG6_223122,1,1,1
OG6_101975,1,1,1
OG6_491627,1,1,1
OG6_115791,1,1,1
OG6_491279,1,1,1
OG6_100771,1,1,1
OG6_165819,1,1,1
OG6_141933,2,2,2
OG6_492331,1,1,1
OG6_101527,1,1,1
OG6_134678,1,1,1
OG6_118246,1,1,1
OG6_107903,1,1,1
OG6_490434,1,1,1
OG6_490006,1,1,1
OG6_490491,1,1,1
OG6_490842,1,1,1
OG6_489567,1,1,1
OG6_490787,1,1,1
OG6_101679,1,1,1
OG6_223123,1,1,1
OG6_100178,9,3,7
OG6_223124,1,1,1
OG6_490941,1,1,1
OG6_174441,1,1,1
OG6_101702,1,1,1
OG6_491923,1,1,1
OG6_101026,1,1,1
OG6_133972,1,1,1
OG6_490327,1,1,1
OG6_154000,1,1,1
OG6_215377,1,1,1
OG6_106643,1,1,1
OG6_197435,1,1,1
OG6_491175,1,1,1
OG6_492268,1,1,1
OG6_491157,1,1,1
OG6_145843,1,1,1
OG6_223125,1,1,1
OG6_492352,1,1,1
OG6_491683,1,1,1
OG6_491585,1,1,1
OG6_102349,1,1,1
OG6_491825,1,1,1
OG6_489431,1,1,1
OG6_117343,1,1,1
OG6_102682,1,1,1
OG6_489875,1,1,0
OG6_100901,1,1,1
OG6_117745,17,15,15
OG6_100303,1,1,1
OG6_129584,1,1,1
OG6_112402,1,1,1
OG6_104347,3,3,3
OG6_126635,1,1,1
OG6_156373,1,1,1
OG6_101261,1,1,1
OG6_100813,1,1,1
OG6_222962,1,1,1
OG6_491945,1,1,1
OG6_149389,1,1,1
OG6_489302,1,1,1
OG6_490119,1,1,1
OG6_489418,1,1,1
OG6_102581,1,1,1
OG6_491737,1,1,1
OG6_102105,1,1,1
OG6_489852,1,1,1
OG6_102690,1,1,1
OG6_100212,2,3,3
OG6_223105,1,1,1
OG6_104487,2,2,2
OG6_102803,1,1,1
OG6_101575,1,1,1
OG6_490071,1,1,1
OG6_490043,0,1,1
OG6_102339,1,1,1
OG6_490309,1,1,1
OG6_101216,1,1,1
OG6_492198,1,1,1
OG6_194661,1,1,1
OG6_223106,1,1,1
OG6_104784,1,1,1
OG6_102074,1,1,1
OG6_490962,1,1,1
OG6_101629,2,2,2
OG6_491390,1,1,1
OG6_492322,1,1,1
OG6_491164,1,1,1
OG6_127425,1,1,1
OG6_489287,1,1,1
OG6_129486,1,1,1
OG6_158747,1,1,1
OG6_148533,1,1,1
OG6_100528,2,2,2
OG6_100559,1,1,1
OG6_103864,1,1,1
OG6_127996,1,1,1
OG6_102462,1,1,1
OG6_223107,1,1,1
OG6_123570,1,1,1
OG6_490968,0,1,1
OG6_489837,1,1,1
OG6_492264,1,1,1
OG6_101203,1,1,1
OG6_490336,1,1,1
OG6_491725,1,1,1
OG6_489753,1,1,1
OG6_135653,1,1,1
OG6_104401,1,1,1
OG6_491913,1,1,1
OG6_102922,1,1,1
OG6_104135,1,1,1
OG6_492163,1,1,1
OG6_116733,1,1,1
OG6_160729,1,1,1
OG6_100501,1,1,1
OG6_489443,1,1,1
OG6_100523,2,2,2
OG6_125519,2,2,2
OG6_101407,1,1,1
OG6_153771,1,1,1
OG6_174421,1,1,1
OG6_489792,1,1,1
OG6_492159,1,1,1
OG6_102723,1,1,1
OG6_110836,1,1,1
OG6_215365,1,1,1
OG6_491370,1,1,1
OG6_100153,4,4,4
OG6_492147,1,1,1
OG6_215203,0,1,0
OG6_101258,1,1,1
OG6_222998,1,1,1
OG6_158735,1,1,1
OG6_145915,1,1,1
OG6_124748,1,1,1
OG6_492189,1,1,1
OG6_489807,1,1,1
OG6_148531,1,1,1
OG6_127991,1,1,1
OG6_489390,1,1,1
OG6_222997,1,1,1
OG6_171417,1,1,1
OG6_491762,1,1,1
OG6_114613,24,18,23
OG6_160741,1,1,1
OG6_492209,1,1,1
OG6_132913,1,1,1
OG6_490838,1,1,1
OG6_100537,1,1,1
OG6_491143,0,1,1
OG6_102531,1,1,1
OG6_100632,2,2,2
OG6_489915,1,1,1
OG6_490214,1,1,0
OG6_103990,1,1,1
OG6_150354,5,5,6
OG6_160749,1,1,1
OG6_103821,1,1,1
OG6_490810,1,1,1
OG6_100029,1,1,1
OG6_490431,1,1,1
OG6_152555,1,1,1
OG6_101090,1,1,1
OG6_489497,1,1,1
OG6_490686,1,1,1
OG6_132247,1,1,1
OG6_105379,1,1,1
OG6_102870,1,1,1
OG6_491093,0,1,1
OG6_490230,1,1,1
OG6_103642,1,1,1
OG6_492262,1,1,1
OG6_105046,1,1,1
OG6_100732,1,1,1
OG6_101445,1,1,1
OG6_136928,2,1,2
OG6_491534,1,1,1
OG6_137272,1,1,1
OG6_105469,1,1,1
OG6_222918,1,1,1
OG6_100481,2,2,2
OG6_101033,2,2,2
OG6_100811,1,1,1
OG6_124104,12,11,6
OG6_101005,1,1,1
OG6_100934,1,1,1
OG6_490171,0,1,1
OG6_489281,1,1,1
OG6_102569,1,1,1
OG6_102389,1,1,1
OG6_490377,1,1,1
OG6_492257,1,1,1
OG6_135567,1,1,1
OG6_100469,2,2,2
OG6_101776,1,1,1
OG6_491153,1,1,1
OG6_103778,1,1,1
OG6_139517,1,1,1
OG6_111091,1,1,1
OG6_153359,1,1,1
OG6_100832,1,1,1
OG6_160840,1,1,1
OG6_101494,1,1,1
OG6_103671,1,1,1
OG6_492187,1,1,1
OG6_101885,1,1,1
OG6_142584,1,1,1
OG6_490060,1,1,1
OG6_492207,1,1,1
OG6_183617,1,1,1
OG6_198973,1,1,1
OG6_490859,1,1,1
OG6_102977,1,1,1
OG6_101655,1,1,1
OG6_491123,1,1,1
OG6_490793,1,1,1
OG6_181884,3,2,3
OG6_100387,1,1,1
OG6_223460,1,1,2
OG6_101518,1,1,1
OG6_490321,1,1,1
OG6_101474,1,1,1
OG6_491301,1,1,1
OG6_107541,1,1,1
OG6_490240,1,1,1
OG6_102580,1,1,1
OG6_159571,2,2,2
OG6_223118,1,1,1
OG6_224183,1,1,1
OG6_490748,1,1,1
OG6_491405,1,1,1
OG6_489374,1,1,1
OG6_185423,1,1,1
OG6_491612,2,1,1
OG6_117850,3,3,3
OG6_491112,1,1,1
OG6_146170,1,1,1
OG6_490046,1,1,1
OG6_101986,1,1,1
OG6_121191,1,1,1
OG6_490212,1,1,1
OG6_102036,1,1,1
OG6_101760,1,1,1
OG6_490830,1,1,1
OG6_148140,1,1,1
OG6_101978,2,2,2
OG6_100906,1,1,1
OG6_101800,1,1,1
OG6_102078,1,1,1
OG6_101823,1,1,1
OG6_491344,1,1,1
OG6_119906,1,1,1
OG6_223028,1,1,1
OG6_174020,1,1,1
OG6_223029,1,1,1
OG6_490407,1,1,1
OG6_101514,1,1,1
OG6_113647,1,1,1
OG6_171396,1,1,1
OG6_491522,1,1,1
OG6_104068,1,1,1
OG6_491924,1,1,1
OG6_106891,1,1,1
OG6_492200,1,1,1
OG6_489361,1,1,1
OG6_490634,1,1,1
OG6_490574,1,1,1
OG6_126864,1,1,1
OG6_491488,0,1,1
OG6_101036,2,2,2
OG6_224184,1,1,1
OG6_100127,2,1,1
OG6_105011,1,1,1
OG6_489492,1,1,1
OG6_148559,1,1,1
OG6_148522,1,1,1
OG6_491835,1,1,1
OG6_102793,1,1,1
OG6_102572,1,1,1
OG6_489425,1,1,1
OG6_126530,1,1,1
OG6_492346,1,1,1
OG6_489339,0,1,1
OG6_490355,0,1,0
OG6_102650,1,1,1
OG6_101293,1,1,1
OG6_100512,2,2,2
OG6_101234,1,1,1
OG6_491753,1,1,1
OG6_223139,1,1,1
OG6_201100,1,1,1
OG6_490051,1,1,1
OG6_491202,1,1,2
OG6_118254,1,1,1
OG6_489878,1,1,1
OG6_133121,1,1,1
OG6_489346,1,1,1
OG6_105741,1,1,1
OG6_101185,1,1,1
OG6_104441,1,1,1
OG6_490715,1,1,1
OG6_223068,1,1,1
OG6_102070,1,1,1
OG6_490216,1,1,1
OG6_143378,1,1,1
OG6_489990,1,1,1
OG6_174446,1,1,1
OG6_490957,1,1,1
OG6_159568,1,1,1
OG6_174422,1,1,1
OG6_491372,1,1,1
OG6_489822,1,1,1
OG6_222909,1,1,1
OG6_107257,1,1,1
OG6_490585,1,1,1
OG6_490285,1,1,1
OG6_134717,1,1,1
OG6_491996,1,1,1
OG6_102721,1,1,1
OG6_124785,1,1,1
OG6_490526,1,1,1
OG6_490898,1,1,1
OG6_489695,1,1,1
OG6_158737,1,1,1
OG6_489885,1,1,1
OG6_491673,1,1,1
OG6_490459,1,1,1
OG6_489587,1,1,1
OG6_490552,2,1,1
OG6_490390,1,1,1
OG6_491948,1,1,1
OG6_100753,1,1,1
OG6_222910,1,1,1
OG6_490200,1,1,1
OG6_105372,1,1,1
OG6_179348,1,1,1
OG6_490086,1,1,1
OG6_490444,1,1,1
OG6_121784,2,1,1
OG6_102317,1,1,1
OG6_491613,0,1,1
OG6_102893,2,2,2
OG6_105687,3,3,3
OG6_223040,1,1,1
OG6_100497,0,1,1
OG6_151590,1,1,1
OG6_102665,3,3,4
OG6_104928,1,1,1
OG6_100677,2,2,2
OG6_489976,0,1,0
OG6_127994,1,1,1
OG6_174998,1,1,1
OG6_100082,1,1,1
OG6_491303,1,1,1
OG6_111177,3,3,3
OG6_215345,1,1,1
OG6_119698,1,1,1
OG6_101128,2,2,2
OG6_168552,1,1,1
OG6_162168,7,4,7
OG6_491770,0,1,0
OG6_491856,1,1,1
OG6_490156,1,1,1
OG6_102367,2,2,2
OG6_489513,1,1,1
OG6_492053,1,1,1
OG6_179336,1,1,1
OG6_100385,2,2,2
OG6_153528,1,1,1
OG6_490746,1,1,1
OG6_489282,1,1,1
OG6_119191,17,14,15
OG6_490058,1,1,1
OG6_103442,1,1,1
OG6_489983,1,1,1
OG6_100407,1,1,1
OG6_103591,1,1,1
OG6_491571,1,1,1
OG6_100324,1,1,1
OG6_181862,1,1,1
OG6_490290,1,1,1
OG6_489293,1,1,1
OG6_101092,2,2,2
OG6_490147,1,1,1
OG6_490414,1,1,1
OG6_171756,1,1,1
OG6_490072,1,1,1
OG6_492028,1,1,1
OG6_490885,1,1,1
OG6_114615,22,17,15
OG6_490571,1,1,1
OG6_100737,1,1,1
OG6_154234,1,1,1
OG6_492001,1,1,1
OG6_165191,1,1,1
OG6_490296,1,1,1
OG6_102538,1,1,1
OG6_107498,1,1,1
OG6_492086,1,1,1
OG6_153953,1,1,1
OG6_490656,1,1,1
OG6_490441,1,1,1
OG6_101299,2,2,2
OG6_101797,1,1,1
OG6_114697,1,1,1
OG6_224185,1,1,1
OG6_490633,1,1,1
OG6_490454,1,1,1
OG6_101068,1,1,1
OG6_100350,2,2,2
OG6_110724,2,2,2
OG6_100321,2,2,2
OG6_490767,1,1,0
OG6_489704,1,1,1
OG6_103742,1,1,1
OG6_489368,1,1,1
OG6_490494,1,1,1
OG6_491644,1,1,1
OG6_491750,1,1,1
OG6_101686,1,1,1
OG6_181855,1,1,1
OG6_103007,1,1,1
OG6_103079,1,1,1
OG6_156419,1,1,1
OG6_490472,1,1,1
OG6_489722,1,1,1
OG6_100745,1,1,1
OG6_489951,2,1,1
OG6_103029,1,1,1
OG6_102141,1,1,1
OG6_100991,1,1,1
OG6_171472,1,1,1
OG6_223013,1,1,1
OG6_201733,1,1,1
OG6_489343,1,1,1
OG6_489468,1,1,1
OG6_107843,1,1,1
OG6_491857,1,1,1
OG6_125034,1,1,1
OG6_100342,2,2,3
OG6_489747,1,1,1
OG6_100176,2,2,2
OG6_491680,1,1,1
OG6_104143,1,1,1
OG6_127605,1,1,1
OG6_181868,1,1,1
OG6_102966,1,1,1
OG6_103754,1,1,1
OG6_102936,1,1,1
OG6_101439,1,1,1
OG6_104691,1,1,1
OG6_490862,1,1,1
OG6_206560,1,1,1
OG6_490357,1,1,1
OG6_102946,1,1,1
OG6_103479,1,1,1
OG6_491221,1,1,1
OG6_491584,1,1,1
OG6_491955,1,1,1
OG6_490498,1,1,1
OG6_492286,1,1,1
OG6_491424,1,1,1
OG6_108845,1,1,1
OG6_106761,1,1,1
OG6_100478,1,1,1
OG6_136626,1,1,1
OG6_490944,1,1,1
OG6_107725,1,1,1
OG6_136847,1,1,1
OG6_224186,1,1,1
OG6_105827,1,1,1
OG6_159572,1,1,1
OG6_490694,1,1,1
OG6_105600,1,1,1
OG6_492029,1,1,1
OG6_223024,1,1,1
OG6_105680,1,1,1
OG6_182183,2,3,4
OG6_215893,1,1,1
OG6_181872,1,1,1
OG6_104986,1,1,1
OG6_491033,1,1,1
OG6_100543,1,1,1
OG6_103632,1,1,1
OG6_102894,1,1,1
OG6_211339,1,1,1
OG6_492104,1,1,1
OG6_223160,1,1,1
OG6_224187,2,2,2
OG6_103129,1,1,1
OG6_490613,1,1,1
OG6_491103,1,1,1
OG6_137191,1,1,1
OG6_491845,1,1,1
OG6_490818,1,1,1
OG6_100137,3,3,3
OG6_109072,1,1,2
OG6_143067,1,1,1
OG6_491002,1,1,1
OG6_490402,1,1,1
OG6_490532,1,1,1
OG6_100904,1,1,1
OG6_159520,1,1,1
OG6_100711,2,1,2
OG6_129618,3,2,2
OG6_224188,1,2,2
OG6_100921,3,3,4
OG6_149552,1,1,1
OG6_489944,1,1,1
OG6_149567,1,1,1
OG6_160838,1,1,1
OG6_489335,1,1,1
OG6_492172,1,1,1
OG6_490542,1,1,1
OG6_492143,1,1,1
OG6_489323,1,1,1
OG6_492191,0,1,0
OG6_103585,1,1,1
OG6_104058,1,1,1
OG6_490983,0,1,0
OG6_112837,2,2,2
OG6_490624,1,1,1
OG6_149551,1,1,1
OG6_101229,1,1,1
OG6_222902,1,1,1
OG6_489432,1,1,1
OG6_103223,1,1,1
OG6_490586,1,1,0
OG6_105437,2,1,2
OG6_491007,1,1,1
OG6_103746,2,2,2
OG6_153962,1,1,1
OG6_134868,1,1,1
OG6_490864,1,1,1
OG6_490239,1,1,1
OG6_492078,1,1,1
OG6_490322,1,1,1
OG6_100503,1,1,1
OG6_491957,1,1,1
OG6_162169,5,4,4
OG6_102875,1,1,1
OG6_101825,1,1,1
OG6_117087,1,1,1
OG6_222901,1,1,1
OG6_490174,1,1,1
OG6_489720,1,1,1
OG6_182184,3,3,3
OG6_490391,1,1,1
OG6_491549,1,1,1
OG6_489359,1,1,1
OG6_490244,1,1,0
OG6_111824,3,3,3
OG6_100373,1,1,1
OG6_105599,1,1,1
OG6_490739,1,1,0
OG6_492148,1,1,1
OG6_490115,1,1,1
OG6_119987,2,2,2
OG6_104512,1,1,1
OG6_102196,1,1,1
OG6_492126,1,1,1
OG6_222900,1,1,1
OG6_489461,1,1,1
OG6_162170,4,4,4
OG6_223468,1,1,1
OG6_101553,1,1,1
OG6_489441,1,1,1
OG6_100625,3,3,3
OG6_489865,1,1,1
OG6_158748,1,1,1
OG6_492204,1,1,1
OG6_489290,1,1,1
OG6_223011,1,1,1
OG6_489371,1,1,1
OG6_100510,1,1,1
OG6_116989,1,1,1
OG6_102080,1,1,1
OG6_101179,5,5,5
OG6_103871,1,1,1
OG6_106279,1,1,1
OG6_102466,1,1,1
OG6_491689,1,1,1
OG6_102432,1,1,1
OG6_103795,1,1,1
OG6_101476,1,1,1
OG6_100611,2,2,2
OG6_489775,1,1,1
OG6_491740,1,1,0
OG6_105020,1,1,1
OG6_489490,1,1,1
OG6_100340,4,2,2
OG6_101306,1,1,1
OG6_491868,1,1,1
OG6_101614,1,1,1
OG6_101081,2,2,2
OG6_489510,1,1,1
OG6_104529,1,1,1
OG6_155545,1,1,1
OG6_105927,1,1,1
OG6_491671,1,1,1
OG6_101380,1,1,1
OG6_490419,1,1,1
OG6_491583,1,1,1
OG6_102680,1,1,1
OG6_100545,2,3,2
OG6_201456,1,1,1
OG6_492203,1,1,1
OG6_100420,1,1,1
OG6_109693,1,1,1
OG6_491454,1,1,1
OG6_490676,1,1,0
OG6_100487,2,2,2
OG6_491080,1,1,0
OG6_491536,1,1,1
OG6_101297,1,1,1
OG6_490298,1,1,1
OG6_101570,1,1,1
OG6_492282,1,1,1
OG6_490952,1,1,1
OG6_490184,1,1,1
OG6_490347,1,1,1
OG6_102649,1,1,1
OG6_207168,1,1,0
OG6_102100,1,1,1
OG6_103183,1,1,1
OG6_490562,1,1,1
OG6_102171,1,1,1
OG6_100327,2,2,2
OG6_490299,1,1,1
OG6_102162,1,1,1
OG6_171478,1,1,1
OG6_179333,1,1,1
OG6_110040,1,1,2
OG6_101241,1,1,1
OG6_102300,1,1,1
OG6_101257,1,1,1
OG6_491658,1,1,1
OG6_223012,1,1,2
OG6_491876,1,1,1
OG6_100060,2,2,2
OG6_489546,1,1,1
OG6_489910,1,1,1
OG6_100571,1,1,1
OG6_490069,1,1,1
OG6_491672,1,1,1
OG6_491814,1,1,1
OG6_489844,1,1,1
OG6_492144,1,1,1
OG6_144080,2,2,2
OG6_492019,1,1,1
OG6_102195,1,1,1
OG6_101235,1,1,1
OG6_198526,1,1,1
OG6_105738,1,1,1
OG6_100104,3,3,3
OG6_492088,1,1,1
OG6_101881,1,1,1
OG6_121818,1,1,1
OG6_223007,1,1,1
OG6_489372,1,1,1
OG6_491360,1,1,1
OG6_146143,1,1,1
OG6_223008,1,1,1
OG6_492249,1,1,1
OG6_144392,1,1,1
OG6_103001,1,1,1
OG6_491885,1,1,1
OG6_492353,1,1,1
OG6_124625,1,1,1
OG6_490679,1,1,1
OG6_109679,1,1,1
OG6_223009,1,1,1
OG6_103299,1,1,1
OG6_101123,1,1,1
OG6_104771,1,1,1
OG6_490906,0,1,1
OG6_489972,0,1,1
OG6_105073,1,1,1
OG6_223010,1,1,1
OG6_102188,1,1,1
OG6_103640,1,1,1
OG6_176945,1,1,1
OG6_491097,1,1,1
OG6_489284,1,1,1
OG6_105665,1,1,1
OG6_489620,0,1,0
OG6_198378,1,1,1
OG6_492308,1,1,1
OG6_491776,1,1,1
OG6_489342,1,1,1
OG6_103051,1,1,1
OG6_139459,1,1,1
OG6_223045,1,1,1
OG6_489868,1,1,1
OG6_490789,1,1,1
OG6_101336,1,1,1
OG6_491006,1,1,1
OG6_112900,1,1,1
OG6_492212,1,1,2
OG6_139478,1,1,1
OG6_490054,1,1,1
OG6_101666,1,1,1
OG6_492167,1,1,1
OG6_489789,0,1,0
OG6_101164,1,1,1
OG6_106507,1,1,1
OG6_491520,1,1,1
OG6_102415,2,1,1
OG6_489304,1,1,1
OG6_102376,1,1,1
OG6_490551,1,1,1
OG6_489413,1,1,1
OG6_217103,1,1,1
OG6_491367,1,1,1
OG6_215344,1,1,1
OG6_222916,1,1,1
OG6_491605,1,1,1
OG6_104215,1,1,1
OG6_491376,1,1,1
OG6_155934,1,1,1
OG6_102631,1,1,1
OG6_101973,1,1,1
OG6_100435,1,1,1
OG6_490352,1,1,1
OG6_100664,1,1,1
OG6_101495,1,1,1
OG6_489687,1,1,1
OG6_164188,1,1,1
OG6_222917,1,1,1
OG6_490155,1,1,1
OG6_491024,1,1,1
OG6_490259,1,1,1
OG6_149560,1,1,1
OG6_490734,1,1,1
OG6_491054,1,1,1
OG6_491961,1,1,1
OG6_118443,1,1,1
OG6_103064,2,2,2
OG6_102759,1,1,1
OG6_106236,1,1,1
OG6_101684,1,1,1
OG6_491148,1,1,1
OG6_131667,1,1,1
OG6_105304,1,1,1
OG6_100198,1,1,1
OG6_100698,1,1,1
OG6_100869,1,1,1
OG6_103627,1,1,1
OG6_129777,1,1,1
OG6_135493,1,1,1
OG6_101712,1,1,1
OG6_489694,1,1,1
OG6_223077,1,1,1
OG6_490243,1,1,1
OG6_106506,1,1,1
OG6_101720,1,1,1
OG6_489971,1,1,1
OG6_490823,1,1,1
OG6_100447,1,1,1
OG6_491965,1,1,1
OG6_139432,1,1,1
